18	Arctic Sea	Mer Arctique	Mar Ártico
47.1.5	Orange River	Fleuve Orange	Río Orange
47.1.6	Cape of Good Hope	Cap de Bonne-Espérance	Cabo de Buena Esperanza
47.2	Agulhas coastal subarea	Sous-zone côtière des Aiguilles	Subárea costera de Agulhas
47.2.1	Middle Agulhas	Aiguilles, centre	Agulhas central
47.2.2	Eastern Agulhas	Aiguilles, est	Agulhas oriental
47.A.0	SEAFO division A.0	Division SEAFO A.0	División SEAFO A.0
47.A.1	SEAFO division A.1	Division SEAFO A.1	División SEAFO A.1
47.B.0	SEAFO division B.0	Division SEAFO B.0	División SEAFO B.0
47.B.1	SEAFO division B.1	Division SEAFO B.1	División SEAFO B.1
47.C.0	SEAFO division C.0	Division SEAFO C.0	División SEAFO C.0
47.C.1	SEAFO division C.1	Division SEAFO C.1	División SEAFO C.1
47.D.0	SEAFO division D.0	Division SEAFO D.0	División SEAFO D.0
47.D.1	SEAFO division D.1	Division SEAFO D.1	División SEAFO D.1
48	Atlantic, Antarctic	Atlantique, Antarctique	Atlántico, Antártico
48.1	Atlantic Antarctic / 48.1	Atl Antar / 48.1	Atl Antar / 48.1
48.2	Atlantic Antarctic / 48.2	Atl Antar / 48.2	Atl Antar / 48.2
48.3	Atlantic Antarctic / 48.3	Atl Antar / 48.3	Atl Antar / 48.3
48.4	Atlantic Antarctic / 48.4	Atl Antar / 48.4	Atl Antar / 48.4
48.5	Atlantic Antarctic / 48.5	Atl Antar / 48.5	Atl Antar / 48.5
48.6	Atlantic Antarctic / 48.6	Atl Antar / 48.6	Atl Antar / 48.6
51	Indian Ocean, Western	Océan Indien, ouest	Océano Índico, occidental
51.1	Red Sea subarea	Sous-zone mer Rouge	Subárea mar Rojo
51.2	Gulf subarea	Sous-zone Golfe	Subárea Golfo
51.3	Western Arabian Sea subarea	Sous-zone mer Arabe occidental	Subárea mar Árabe occidental
51.3.1	Oman Sea	Mer d'Oman	Mar de Omán
51.3.2	Arabian Sea (South Western)	51.3.2	mar Árabe sur occidental
51.4	Indian Ocean, West / 51.4	Ind W / 51.4	Ind W / 51.4
51.5	Indian Ocean, West / 51.5	Ind W / 51.5	Ind W / 51.5
51.6	Indian Ocean, West / 51.6	Ind W / 51.6	Ind W / 51.6
51.7	Indian Ocean, West / 51.7	Ind W / 51.7	Ind W / 51.7
51.8	Indian Ocean, West / 51.8	Ind W / 51.8	Ind W / 51.8
57	Indian Ocean, Eastern	Océan Indien, est	Océano Índico, oriental
57.1	Indian Ocean, East / 57.1	Ind E / 57.1	Ind E / 57.1
57.2	Indian Ocean, East / 57.2	Ind E / 57.2	Ind E / 57.2
57.3	Indian Ocean, East / 57.3	Ind E / 57.3	Ind E / 57.3
57.4	Indian Ocean, East / 57.4	Ind E / 57.4	Ind E / 57.4
57.5	Indian Ocean, East / 57.5	Ind E / 57.5	Ind E / 57.5
57.5.1	Indian Ocean, East / 57.5.1	Ind E / 57.5.1	Ind E / 57.5.1
57.5.2	Indian Ocean, East / 57.5.2	Ind E / 57.5.2	Ind E / 57.5.2
57.6	Indian Ocean, East / 57.6	Ind E / 57.6	Ind E / 57.6
58	Indian Ocean, Antarctic	Océan Indien, Antarctique	Océano Índico, Antártico
58.4	Indian Antarctic 58.4	Ind Antar 58.4	Ind Antar 58.4
58.4.1	Indian Antarctic 58.4.1	Ind Antar 58.4.1	Ind Antar 58.4.1
58.4.2	Indian Antarctic 58.4.2	Ind Antar 58.4.2	Ind Antar 58.4.2
58.4.3	Indian Antarctic 58.4.3	Ind Antar 58.4.3	Ind Antar 58.4.3
58.4.3.a	Indian Antarctic 58.4.3.a	Ind Antar 58.4.3.a	Ind Antar 58.4.3.a
58.4.3.b	Indian Antarctic 58.4.3.b	Ind Antar 58.4.3.b	Ind Antar 58.4.3.b
58.4.4	Indian Antarctic 58.4.4	Ind Antar 58.4.4	Ind Antar 58.4.4
58.4.4.a	Indian Antarctic 58.4.4.a	Ind Antar 58.4.4.a	Ind Antar 58.4.4.a
58.4.4.b	Indian Antarctic 58.4.4.b	Ind Antar 58.4.4.b	Ind Antar 58.4.4.b
58.5	Indian Antarctic 58.5	Ind Antar 58.5	Ind Antar 58.5
58.5.1	Indian Antarctic 58.5.1	Ind Antar 58.5.1	Ind Antar 58.5.1
58.5.2	Indian Antarctic 58.5.2	Ind Antar 58.5.2	Ind Antar 58.5.2
58.6	Indian Antarctic 58.6	Ind Antar 58.6	Ind Antar 58.6
58.7	Indian Antarctic 58.7	Ind Antar 58.7	Ind Antar 58.7
61	Pacific, Northwest	Pacifique, nord-ouest	Pacífico, noroeste
67	Pacific, Northeast	Pacifique, nord-est	Pacífico, nordeste
71	Pacific, Western Central	Pacifique, centre-ouest	Pacífico, centro-occidental
71.6.1	Pacific, West central / 71.6.1	Pac WC / 71.6.1	Pac WC / 71.6.1
71.6.2	Pacific, West central / 71.6.2	Pac WC / 71.6.2	Pac WC / 71.6.2
77	Pacific, Eastern Central	Pacifique, centre-est	Pacífico, centro-oriental
81	Pacific, Southwest	Pacifique, sud-ouest	Pacífico, sudoccidental
87	Pacific, Southeast	Pacifique, sud-est	Pacífico, sudoriental
87.1	Pacific, Southeast / 87.1	Pacific, Southeast / 87.1	Pacific, Southeast / 87.1
87.1.1	Pacific, Southeast / 87.1.1	Pacific, Southeast / 87.1.1	Pacific, Southeast / 87.1.1
87.1.11	Pacific, Southeast / 87.1.11	Pacific, Southeast / 87.1.11	Pacific, Southeast / 87.1.11
87.1.12	Pacific, Southeast / 87.1.12	Pacific, Southeast / 87.1.12	Pacific, Southeast / 87.1.12
87.1.13	Pacific, Southeast / 87.1.13	Pacific, Southeast / 87.1.13	Pacific, Southeast / 87.1.13
87.1.14	Pacific, Southeast / 87.1.14	Pacific, Southeast / 87.1.14	Pacific, Southeast / 87.1.14
87.1.15	Pacific, Southeast / 87.1.15	Pacific, Southeast / 87.1.15	Pacific, Southeast / 87.1.15
87.1.2	Pacific, Southeast / 87.1.2	Pacific, Southeast / 87.1.2	Pacific, Southeast / 87.1.2
87.1.21	Pacific, Southeast / 87.1.21	Pacific, Southeast / 87.1.21	Pacific, Southeast / 87.1.21
87.1.22	Pacific, Southeast / 87.1.22	Pacific, Southeast / 87.1.22	Pacific, Southeast / 87.1.22
87.1.23	Pacific, Southeast / 87.1.23	Pacific, Southeast / 87.1.23	Pacific, Southeast / 87.1.23
87.1.24	Pacific, Southeast / 87.1.24	Pacific, Southeast / 87.1.24	Pacific, Southeast / 87.1.24
87.1.25	Pacific, Southeast / 87.1.25	Pacific, Southeast / 87.1.25	Pacific, Southeast / 87.1.25
87.1.3	Pacific, Southeast / 87.1.3	Pacific, Southeast / 87.1.3	Pacific, Southeast / 87.1.3
87.1.4	Pacific, Southeast / 87.1.4	Pacific, Southeast / 87.1.4	Pacific, Southeast / 87.1.4
87.2	Pacific, Southeast / 87.2	Pacific, Southeast / 87.2	Pacific, Southeast / 87.2
87.2.1	Pacific, Southeast / 87.2.1	Pacific, Southeast / 87.2.1	Pacific, Southeast / 87.2.1
87.2.11	87.2.11	87.2.11	87.2.11
87.2.12	87.2.12	87.2.12	87.2.12
87.2.13	87.2.13	87.2.13	87.2.13
87.2.14	87.2.14	87.2.14	87.2.14
87.2.15	87.2.15	87.2.15	87.2.15
87.2.16	87.2.16	87.2.16	87.2.16
87.2.17	87.2.17	87.2.17	87.2.17
87.2.2	Pacific, Southeast / 87.2.2	Pacific, Southeast / 87.2.2	Pacific, Southeast / 87.2.2
87.2.21	87.2.21	87.2.21	87.2.21
87.2.22	87.2.22	87.2.22	87.2.22
87.2.23	87.2.23	87.2.23	87.2.23
87.2.24	87.2.24	87.2.24	87.2.24
87.2.25	87.2.25	87.2.25	87.2.25
87.2.26	87.2.26	87.2.26	87.2.26
87.2.27	87.2.27	87.2.27	87.2.27
87.2.3	87.2.3	87.2.3	87.2.3
87.2.4	87.2.4	87.2.4	87.2.4
87.2.5	87.2.5	87.2.5	87.2.5
87.2.6	87.2.6	87.2.6	87.2.6
87.3	Pacific, Southeast / 87.3	Pacific, Southeast / 87.3	Pacific, Southeast / 87.3
87.3.1	Pacific, Southeast / 87.3.1	Pacific, Southeast / 87.3.1	Pacific, Southeast / 87.3.1
87.3.11	87.3.11	87.3.11	87.3.11
87.3.12	87.3.12	87.3.12	87.3.12
87.3.13	87.3.13	87.3.13	87.3.13
87.3.2	Pacific, Southeast / 87.3.2	Pacific, Southeast / 87.3.2	Pacific, Southeast / 87.3.2
87.3.21	87.3.21	87.3.21	87.3.21
87.3.22	87.3.22	87.3.22	87.3.22
87.3.23	87.3.23	87.3.23	87.3.23
87.3.3	87.33	87.33	87.33
88	Pacific, Antarctic	Pacifique, Antarctique	Pacífico, Antártico
88.1	Pacific Antarctic / 88.1	Pac Antar / 88.1	Pac Antar / 88.1
88.2	Pacific Antarctic / 88.2	Pac Antar / 88.2	Pac Antar / 88.2
88.3	Pacific Antarctic / 88.3	Pac Antar / 88.3	Pac Antar / 88.3
